R:0000      0  31
R:0001      0  1F
R:0002      0  00
R:0003     20  3E
R:0004     20  03
R:0005     27  3C
R:0006     31  D3
R:0007     31  01
R:0008     42  18
R:0009     42  FB
R:0005     54  3C
R:0006     58  D3
R:0007     58  01
R:0008     69  18
R:0009     69  FB
R:0005     81  3C
R:0006     85  D3
R:0007     85  01
R:0008     96  18
R:0009     96  FB
R:0005    108  3C
R:0006    112  D3
R:0007    112  01
R:0008    123  18
R:0009    123  FB
R:0005    135  3C
R:0006    139  D3
R:0007    139  01
R:0008    150  18
R:0009    150  FB
R:0005    162  3C
R:0006    166  D3
R:0007    166  01
R:0008    177  18
R:0009    177  FB
R:0005    189  3C
R:0006    193  D3
R:0007    193  01
R:0008    204  18
R:0009    204  FB
R:0005    216  3C
R:0006    220  D3
R:0007    220  01
R:0008    231  18
R:0009    231  FB
R:0005    243  3C
R:0006    247  D3
R:0007    247  01
R:0008    258  18
R:0009    258  FB
R:0005    270  3C
R:0006    274  D3
R:0007    274  01
R:0008    285  18
R:0009    285  FB
R:0005    297  3C
R:0006    301  D3
R:0007    301  01
R:0008    312  18
R:0009    312  FB
R:0005    324  3C
R:0006    328  D3
R:0007    328  01
R:0008    339  18
R:0009    339  FB
R:0005    351  3C
R:0006    355  D3
R:0007    355  01
R:0008    366  18
R:0009    366  FB
R:0005    378  3C
R:0006    382  D3
R:0007    382  01
R:0008    393  18
R:0009    393  FB
R:0005    405  3C
R:0006    409  D3
R:0007    409  01
R:0008    420  18
R:0009    420  FB
R:0005    432  3C
R:0006    436  D3
R:0007    436  01
R:0008    447  18
R:0009    447  FB
R:0005    459  3C
R:0006    463  D3
R:0007    463  01
R:0008    474  18
R:0009    474  FB
R:0005    486  3C
R:0006    490  D3
R:0007    490  01
R:0008    501  18
R:0009    501  FB
R:0005    513  3C
R:0006    517  D3
R:0007    517  01
R:0008    528  18
R:0009    528  FB
R:0005    540  3C
R:0006    544  D3
R:0007    544  01
R:0008    555  18
R:0009    555  FB
R:0005    567  3C
R:0006    571  D3
R:0007    571  01
R:0008    582  18
R:0009    582  FB
R:0005    594  3C
R:0006    598  D3
R:0007    598  01
R:0008    609  18
R:0009    609  FB
R:0005    621  3C
R:0006    625  D3
R:0007    625  01
R:0008    636  18
R:0009    636  FB
R:0005    648  3C
R:0006    652  D3
R:0007    652  01
R:0008    663  18
R:0009    663  FB
R:0005    675  3C
R:0006    679  D3
R:0007    679  01
R:0008    690  18
R:0009    690  FB
